iter	RMSE
0	7.345882608
1	7.20806251
2	7.0746467
3	6.952138564
4	6.81119587
5	6.679170587
6	6.562285465
7	6.447385744
8	6.334989254
9	6.223395259
10	6.11075774
11	5.998001685
12	5.896133178
13	5.785621084
14	5.679979143
15	5.588341933
16	5.480146399
17	5.396028381
18	5.312961711
19	5.233554214
20	5.141213325
21	5.053052376
22	4.984424629
23	4.896315555
24	4.811964375
25	4.735568687
26	4.655732397
27	4.57455486
28	4.489312817
29	4.413846316
30	4.355315604
31	4.287557667
32	4.210987218
33	4.146079431
34	4.093723559
35	4.035641495
36	3.9846152
37	3.927320552
38	3.874821218
39	3.811721434
40	3.755083803
41	3.713494707
42	3.663673833
43	3.615582812
44	3.57036841
45	3.522912636
46	3.477872491
47	3.433041825
48	3.390673215
49	3.347364958
50	3.301129607
51	3.266133307
52	3.223429118
53	3.187459268
54	3.156659039
55	3.120668741
56	3.09485605
57	3.058917251
58	3.031665062
59	3.001226066
60	2.971333159
61	2.946079761
62	2.91979751
63	2.895070071
64	2.863954775
65	2.84049667
66	2.820315526
67	2.796314697
68	2.770871823
69	2.750541227
70	2.725156403
71	2.704295514
72	2.683859978
73	2.666130086
74	2.646487024
75	2.630459911
76	2.612620769
77	2.591873357
78	2.572436547
79	2.55255382
80	2.531414996
81	2.512801644
82	2.497197972
83	2.47823177
84	2.462174946
85	2.447684819
86	2.434234201
87	2.419161839
88	2.402563587
89	2.388165177
90	2.372397668
91	2.355201002
92	2.33995803
93	2.326377316
94	2.314647664
95	2.302875223
96	2.286940004
97	2.272841341
98	2.262807472
99	2.249245225
100	2.238063383
101	2.223458133
102	2.211190755
103	2.199490595
104	2.186959104
105	2.173366613
106	2.160916132
107	2.144570535
108	2.134365113
109	2.124714273
110	2.114370796
111	2.105280689
112	2.095020912
113	2.085787615
114	2.077241524
115	2.067078875
116	2.054312689
117	2.048821138
118	2.04037174
119	2.03005286
120	2.023517303
121	2.01287821
122	2.000965361
123	1.992720247
124	1.985564454
125	1.975589623
126	1.96974043
127	1.960133465
128	1.951597366
129	1.942676567
130	1.935511181
131	1.92818354
132	1.919359329
133	1.912197317
134	1.904968912
135	1.8965666
136	1.891473644
137	1.883066069
138	1.876077687
139	1.867782657
140	1.860859358
141	1.853533962
142	1.848247641
143	1.841919543
144	1.830881846
145	1.824419354
146	1.818152767
147	1.810209388
148	1.805010996
149	1.799893696
150	1.793378717
151	1.785111551
152	1.778984013
153	1.772662667
154	1.766811181
155	1.759398621
156	1.751717245
157	1.743589226
158	1.738181773
159	1.733064777
160	1.72744385
161	1.721202465
162	1.715114234
163	1.709816843
164	1.702609467
165	1.696523978
166	1.690940846
167	1.683763202
168	1.676334603
169	1.670406751
170	1.665121456
171	1.660014223
172	1.655256457
173	1.648251847
174	1.64392352
175	1.638531887
176	1.634703607
177	1.630646342
178	1.624064427
179	1.621272758
180	1.616856733
181	1.610557269
182	1.605359288
183	1.601792486
184	1.59643071
185	1.590995612
186	1.586282698
187	1.581151666
188	1.575578233
189	1.570667811
190	1.566855653
191	1.561828215
192	1.557774975
193	1.553682448
194	1.55095168
195	1.547107797
196	1.543330517
197	1.539731498
198	1.534060844
199	1.529917421
200	1.524283677
201	1.520138187
202	1.515380936
203	1.511849196
204	1.50704017
205	1.50417481
206	1.500722221
207	1.497180572
208	1.49452562
209	1.491113018
210	1.48743107
211	1.485133
212	1.482027016
213	1.477304478
214	1.470195941
215	1.467184162
216	1.462577775
217	1.458923815
218	1.456680314
219	1.454350712
